 idobject ;nameop;adress
69;Барабинская межрайонная прокуратура; Новосибирская область  Барабинск Город Комарова улица дом 23а 
70;Барабинская транспортная прокуратура; Новосибирская область  Барабинск город Калинина Улица дом 1 
208;Западно-Сибирская транспортная прокуратура; Новосибирская область  Новосибирск город Саратовская улица дом 13 
227;Исилькульская межрайонная прокуратура; Омская область   Исилькуль Город Ленина улица дом 71а 
228;Искитимская межрайонная прокуратура; Новосибирская область  Искитим Город Индустриальный Микрорайон дом 13а 
249;Военная прокуратура Новосибирского гарнизона; Новосибирская область  Новосибирск город Василия Старощука Улица, 5/1 
253;Военная прокуратура Омского гарнизона; Омская область  Омск город Фрунзе Улица дом 1 
358;Военная прокуратура - войсковая часть 56681; Омская область  Омск-16 город Военный городок Городок дом 
418;Называевская межрайонная прокуратура; Омская область  Называевск Город Мира улица дом 4 
431;Калачинская межрайонная прокуратура; Омская область, Калачинск, Ленина 6 
518;Куйбышевская межрайонная прокуратура; Новосибирская обл., г. Куйбышев, кв-л 6-й, д. 14 
519;Куйбышевская прокуратура по надзору за соблюдением законов в исправительных учреждениях; Новосибирская область  Куйбышев город Коммунистическая улица дом 42 
551;Новосибирская межрайонная природоохранная прокуратура; Новосибирская область, г. Новосибирск, ул. Дмитрия Шамшурина, д. 12 
552;Новосибирская прокуратура по надзору за исполнением законов на особо режимных объектах; Новосибирская область  Новосибирск город Народная улица дом 65 
553;Новосибирская прокуратура по надзору за соблюдением законов в исправительных учреждениях; Новосибирская область  Новосибирск город Дзержинского проспект дом 5 
554;Новосибирская транспортная прокуратура; Новосибирская область  Новосибирск город 1905 года улица дом 2 
562;Омская межрайонная природоохранная прокуратура; Омская область Омск Город Тарская улица дом 11 
563;Омская прокуратура по надзору за соблюдением законов в исправительных учреждениях; Омская область  Омск город Лермонтова улица дом 27 
598;Прокуратура Баганского района; Новосибирская область  Баган Село М.Горького улица дом 38 
678;Прокуратура Азовского немецкого национального района; Омская область  Азово Рабочий поселок 1 Мая улица дом 2 
844;Прокуратура Болотнинского района; Новосибирская область, г. Болотное, ул. Московская, 44 
852;Прокуратура Большереченского района; Омская область  Большеречье Рабочий поселок Советов улица дом 44 
856;Прокуратура Большеуковского района; Омская область  Большие Уки Село Ленина улица дом 11 
903;Прокуратура Венгеровского района; Новосибирская область  Венгерово Село Добролюбова улица дом 3 
981;Прокуратура города Новосибирска; Новосибирская область  Новосибирск Город Некрасова улица дом 80 
990;Прокуратура города Оби; Новосибирская область  Обь Город ЖКО Аэропорта улица дом 24 
995;Прокуратура города Омска; Омская область  Омск Город Короленко улица дом 10 
1136;Прокуратура города Бердска; Новосибирская область  Бердск Город Первомайская улица дом 66 
1143;Прокуратура Доволенского района; 632451, Новосибирская область, Доволенский район, с. Довольное, ул. Мичурина, 14а 
1181;Прокуратура Железнодорожного района г. Новосибирска; Новосибирская область  Новосибирск Город Шамшурина улица дом 4 
1281;Прокуратура Горьковского района; Омская область  Горьковское Рабочий поселок Ленина улица дом 9 
1312;Прокуратура Дзержинского района г. Новосибирска; Новосибирская область  Новосибирск Город Промышленная улица дом 1 
1362;Прокуратура Карасукского района; 632868, Новосибирская область, Карасукский район, г. Карасук, ул. Октябрьская, 10 
1369;Прокуратура Каргатского района; Новосибирская обл. г. Каргат, ул. М.Горького, 42 
1406;Прокуратура Здвинского района; Новосибирская область  Здвинск Село Карла Маркса улица дом 1 
1417;Прокуратура Знаменского района; Омская область  Знаменское Село Пролетарская улица дом 13 
1494;Прокуратура Калиниского района г. Новосибирска; Новосибирская область  Новосибирск Город Новая заря улица дом 40а 
1529;Прокуратура Заельцовского района г. Новосибирска; Новосибирская область  Новосибирск Город 2-я Союза Молодежи улица дом 27а 
1541;Прокуратура Крутинского района; Омская область Рабочий поселок Ленина улица дом 15 
1564;Прокуратура Купинского района; Новосибирская область  Купино Город Карла Маркса улица дом 8а 
1585;Прокуратура Кировского административного округа г. Омска; Омская область  Омск Город Перелета улица дом 8 корпус 1 
1589;Прокуратура Кировского района г. Новосибирска; Новосибирская область  Новосибирск Город Петухова улица дом 57 
1628;Прокуратура Колосовского района; Омская область  Колосовка Село 60 лет Октября улица дом 12 
1631;Прокуратура Колыванского района; Новосибирская область  р. п. Колывань, ул. Московская, 39 
1650;Прокуратура Кормиловского района; Омская область  Кормиловка Рабочий поселок Пушкина улица дом 6 
1662;Прокуратура Коченевского района; 632644, Новосибирская область, Коченевский район, п. Коченево, ул.Промышленная, 5 
1663;Прокуратура Кочковского района; Новосибирская область  Кочки Село Мира Улица дом 40 
1694;Прокуратура Краснозерского района; Новосибирская область  р.п. Краснозерское, ул. Чкалова, 2 
1717;Прокуратура Ленинского района г. Новосибирска; Новосибирская область  Новосибирск Город Планировочная улица дом 5 
1740;Прокуратура Москаленского района; Омская область  Москаленки Рабочий поселок Почтовая улица дом 74 
1754;Прокуратура Мошковского района; Новосибирская область  Мошково Рабочий поселок Вокзальная улица дом 107 
1759;Прокуратура Муромцевского района; Омская область  Муромцево Ленина 56 
1818;Прокуратура Любинского района; Омская область  Любино Рабочий поселок Октябрьская улица дом 85 
1850;Прокуратура Марьяновского района; Омская область  Марьяновка Рабочий поселок Пролетарская улица дом 46а 
1851;Прокуратура Маслянинского района; Новосибирская область  Маслянино Рабочий поселок Партизанская улица дом 9 
1895;Прокуратура Кыштовского района; 632270, Новосибирская область, Кыштовский район, с. Кыштовка, ул. Ленина, 32 
1914;Прокуратура Ленинского административного округа г. Омска; Омская область  Омск Город Маркса пр. дом 77 
1917;Прокуратура Омского района; Омская область Омский район   Лермонтова улица дом 173 
1918;Прокуратура Омской области; Омская область  Омск Город Ленина улица дом 1 
1932;Прокуратура Ордынского района; Новосибирская область  Ордынское Поселок городского типа Школьный переулок дом 3 
1953;Прокуратура Павлоградского района; Омская область  Павлоградка Рабочий поселок Пролетарская улица дом 24 
1982;Прокуратура Нижнеомского района; Омская область  Нижняя Омка Рабочий поселок Почтовая улица дом 6 
1996;Прокуратура Нововаршавского района; Омская область  Нововаршавка Рабочий поселок Красный Путь ул. Кооперативная, д.7 
2016;Прокуратура Новосибирского района; Новосибирская область  Новосибирск Город Сибревкома улица дом 4 
2017;Прокуратура Новосибирской области; Новосибирская область  Новосибирск Город Каменская улица дом 20а 
2041;Прокуратура Одесского района; Омская область  Одесское Село Лебедева улица дом 54 
2047;Прокуратура Оконешниковского района; Омская область  Оконешниково Коммунистическая 72 
2052;Прокуратура Октябрьского административного округа г. Омска; Омская область  Омск Город 9-я  Линия дом 161 
2067;Прокуратура Октябрьского района г. Новосибирска; Новосибирская область  Новосибирск Город Грибоедова улица дом 37 
2125;Прокуратура Русско-Полянского района; Омская область  Русская Поляна Рабочий поселок Садовый переулок дом 30а 
2147;Прокуратура Саргатского района; Омская область  Саргатское Рабочий поселок Худенко улица дом 4а 
2162;Прокуратура Северного района; Новосибирская область  Северное Село Ленина улица дом 22 
2173;Прокуратура Седельниковского района; Омская область  Седельниково Село Кропотова улица дом 3 
2178;Прокуратура Полтавского района; Омская область  Полтавка Рабочий поселок Комсомольская улица дом 28 
2289;Прокуратура Первомайского района г. Новосибирска; 630046, Новосибирская область, г. Новосибирск, ул. Шмидта, 10/1. 
2325;Прокуратура Тевризского района; Омская область  Тевриз Рабочий поселок Карбышева улица дом 38а 
2347;Прокуратура Тогучинского района; Новосибирская область  Тогучин Город Садовая улица дом 7а 
